#queryIndex	queryItem	stringId	preferredName	annotation
1	FAM3B	9606.ENSP00000350673	FAM3B	Protein FAM3B; Induces apoptosis of alpha and beta cells in a dose- and time-dependent manner; Belongs to the FAM3 family.
2	ACOT12	9606.ENSP00000303246	ACOT12	Acetyl-coenzyme A thioesterase; Acyl-CoA thioesterases are a group of enzymes that catalyze the hydrolysis of acyl-CoAs to the free fatty acid and coenzyme A (CoASH), providing the potential to regulate intracellular levels of acyl-CoAs, free fatty acids and CoASH. Acyl-coenzyme A thioesterase 12/ACOT12 preferentially hydrolyzes acetyl-CoA.
3	CSHL1	9606.ENSP00000309524	CSHL1	Chorionic somatomammotropin hormone-like 1; May be a novel gestational hormone required to compensate for absence of other members of the GH/CS cluster during gestation.
4	PCTP	9606.ENSP00000460437	PCTP	Phosphatidylcholine transfer protein; Catalyzes the transfer of phosphatidylcholine between membranes. Binds a single lipid molecule.
5	CYB5RL	9606.ENSP00000434343	CYB5RL	NADH-cytochrome b5 reductase-like; NADH-cytochrome b5 reductases are involved in desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction. Belongs to the flavoprotein pyridine nucleotide cytochrome reductase family.
6	HLA-G	9606.ENSP00000366024	HLA-G	Soluble HLA class I histocompatibility antigen, alpha chain G; [Isoform 1]: Non-classical major histocompatibility class Ib molecule involved in immune regulatory processes at the maternal-fetal interface. In complex with B2M/beta-2 microglobulin binds a limited repertoire of nonamer self-peptides derived from intracellular proteins including histones and ribosomal proteins. Peptide-bound HLA-G-B2M complex acts as a ligand for inhibitory/activating KIR2DL4, LILRB1 and LILRB2 receptors on uterine immune cells to promote fetal development while maintaining maternal- fetal tolerance. Upon [...] 
7	ABHD17A	9606.ENSP00000250974	ABHD17A	Alpha/beta hydrolase domain-containing protein 17A; Hydrolyzes fatty acids from S-acylated cysteine residues in proteins. Has depalmitoylating activity towards NRAS. Has depalmitoylating activity towards DLG4/PSD95. May have depalmitoylating activity towards MAP6 (By similarity).
8	DCAF17	9606.ENSP00000364404	DCAF17	DDB1- and CUL4-associated factor 17; May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex.
9	COPZ1	9606.ENSP00000449270	COPZ1	Coatomer subunit zeta-1; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin- coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins (By similarity). The zeta subunit may be involved in regulating the coat assembly and, hence, the rate of biosynthetic protein transport due to its association-disso [...] 
10	DNAJC27	9606.ENSP00000264711	DNAJC27	DnaJ homolog subfamily C member 27; GTPase which can activate the MEK/ERK pathway and induce cell transformation when overexpressed. May act as a nuclear scaffold for MAPK1, probably by association with MAPK1 nuclear export signal leading to enhanced ERK1/ERK2 signaling.
