gene,canonical_acc,isoform_acc,canon_ipTM,iso_ipTM,canon_len,iso_len,structural_outcome,delta_ipTM,ipTM_gain,delta_len,canon_tier,iso_tier,tier_transition,biological_outcome,truncation_topology
THAP4,Q8WY91,Q8WY91-2,0.39,0.94,577,165,Monomer Baseline / Stochastic Signal,-0.5499999999999999,0.5499999999999999,412,Low,High,Low -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
RIOX1,Q9H6W3,Q9H6W3-2,0.74,0.93,641,429,Conserved at >0.7,-0.19000000000000006,0.19000000000000006,212,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
CBR4,Q8N4T8,Q8N4T8-2,0.56,0.92,237,179,Monomer Baseline / Stochastic Signal,-0.36,0.36,58,Low,High,Low -> High,Gain of Function (Interface Unmasking),C-Terminal Loss
B4GALNT2,Q8NHY0,Q8NHY0-3,0.79,0.9,566,480,Conserved at >0.7,-0.10999999999999999,0.10999999999999999,86,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
PDE8B,O95263,O95263-5,0.51,0.9,885,350,Monomer Baseline / Stochastic Signal,-0.39,0.39,535,Low,High,Low -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
PRDX5,P30044,P30044-2,0.74,0.9,214,162,Conserved at >0.7,-0.16000000000000003,0.16000000000000003,52,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
NUDT6,P53370,P53370-2,0.79,0.89,316,147,Conserved at >0.7,-0.09999999999999998,0.09999999999999998,169,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
CAPN3,P20807,P20807-5,0.78,0.89,821,156,Conserved at >0.7,-0.10999999999999999,0.10999999999999999,665,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
BDH2,Q9BUT1,Q9BUT1-3,0.78,0.88,245,144,Conserved at >0.7,-0.09999999999999998,0.09999999999999998,101,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
GFER,P55789,P55789-2,0.57,0.88,205,125,Monomer Baseline / Stochastic Signal,-0.31000000000000005,0.31000000000000005,80,Low,High,Low -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
