gene,canonical_acc,isoform_acc,topology,deletion_window,deletion_length,feature_type,feature_description,feature_begin,feature_end,overlap_residues,overlap_kind,is_inhibitory_lexical,is_disorder_lexical
ACOT12,Q8WYK0,Q8WYK0-2,C-Terminal Loss,166-553,388,Domain,HotDog ACOT-type 2,179,294,116,full,False,False
ACOT12,Q8WYK0,Q8WYK0-2,C-Terminal Loss,166-553,388,Domain,START,340,549,210,full,False,False
ACOT12,Q8WYK0,Q8WYK0-2,C-Terminal Loss,166-553,388,Binding site,,234,236,3,full,False,False
CSHL1,Q14406,Q14406-4,N-Terminal Loss,1-94,94,Binding site,,44,44,1,full,False,False
PCTP,Q9UKL6,Q9UKL6-2,N-Terminal Loss,1-72,72,Domain,START,1,212,72,partial,False,False
PCTP,Q9UKL6,Q9UKL6-2,N-Terminal Loss,1-72,72,Binding site,,72,72,1,full,False,False
CYB5RL,Q6IPT4,Q6IPT4-3,N-Terminal Loss,1-148,148,Domain,Oxidoreductase-like,19,55,37,full,False,False
CYB5RL,Q6IPT4,Q6IPT4-3,N-Terminal Loss,1-148,148,Domain,FAD-binding FR-type,75,177,74,partial,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Topological domain,Extracellular,25,308,194,partial,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Transmembrane,Helical,309,332,24,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Topological domain,Cytoplasmic,333,338,4,partial,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Domain,Ig-like C1-type,209,299,91,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Region,Alpha-2,115,206,92,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Region,Alpha-3,207,298,92,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Region,Connecting peptide,299,308,10,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Motif,ER-retrieval signal,334,336,3,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Binding site,,167,167,1,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Binding site,,170,170,1,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Binding site,,179,179,1,full,False,False
