gene,canonical_acc,isoform_acc,canon_ipTM,iso_ipTM,canon_len,iso_len,structural_outcome
ASMTL,O95671,O95671-3,0.6,0.65,621,563,Conserved at >0.6
ICA1L,Q8NDH6,Q8NDH6-2,0.54,0.1,482,187,Monomer Baseline / Stochastic Signal
CCNL2,Q96S94,Q96S94-2,0.15,0.24,520,227,Monomer Baseline / Stochastic Signal
CCNL2,Q96S94,Q96S94-5,0.15,0.23,520,226,Monomer Baseline / Stochastic Signal
CCNL2,Q96S94,Q96S94-3,0.15,0.15,520,298,Monomer Baseline / Stochastic Signal
POM121C,A8CG34,A8CG34-2,0.22,0.2,1229,987,Monomer Baseline / Stochastic Signal
TMCO3,Q6UWJ1,Q6UWJ1-2,0.73,0.48,677,524,Ablation from >0.7 Canonical
TMCO3,Q6UWJ1,Q6UWJ1-3,0.73,0.31,677,414,Ablation from >0.7 Canonical
NOTCH2NLC,P0DPK4,P0DPK4-2,0.1,0.1,293,236,Monomer Baseline / Stochastic Signal
DPP9,Q86TI2,Q86TI2-4,0.89,0.8,863,836,Conserved at >0.8
GNA13,Q14344,Q14344-2,0.28,0.11,377,282,Monomer Baseline / Stochastic Signal
MORF4L1,Q9UBU8,Q9UBU8-3,0.2,0.44,362,235,Monomer Baseline / Stochastic Signal
POT1,Q9NUX5,Q9NUX5-2,0.19,0.16,634,538,Monomer Baseline / Stochastic Signal
CD38,P28907,P28907-2,0.11,0.18,300,122,Monomer Baseline / Stochastic Signal
NPR2,P20594,P20594-2,0.45,0.46,1047,995,Monomer Baseline / Stochastic Signal
PTPN2,P17706,P17706-2,0.14,0.13,415,387,Monomer Baseline / Stochastic Signal
PTPN2,P17706,P17706-3,0.14,0.16,415,353,Monomer Baseline / Stochastic Signal
PGS1,Q32NB8,Q32NB8-3,0.19,0.17,556,330,Monomer Baseline / Stochastic Signal
PGS1,Q32NB8,Q32NB8-4,0.19,0.07,556,50,Monomer Baseline / Stochastic Signal
PPP2R5E,Q16537,Q16537-3,0.16,0.16,467,391,Monomer Baseline / Stochastic Signal
LETMD1,Q6P1Q0,Q6P1Q0-5,0.18,0.67,360,100,Monomer Baseline / Stochastic Signal
LETMD1,Q6P1Q0,Q6P1Q0-4,0.18,0.53,360,203,Monomer Baseline / Stochastic Signal
LETMD1,Q6P1Q0,Q6P1Q0-2,0.18,0.21,360,304,Monomer Baseline / Stochastic Signal
TMEM175,Q9BSA9,Q9BSA9-2,0.82,0.71,504,388,Ablation from >0.8 Canonical
TSPAN12,O95859,O95859-2,0.16,0.11,305,192,Monomer Baseline / Stochastic Signal
HABP2,Q14520,Q14520-2,0.16,0.15,560,534,Monomer Baseline / Stochastic Signal
SCMH1,Q96GD3,Q96GD3-3,0.19,0.2,660,599,Monomer Baseline / Stochastic Signal
NSUN5P2,Q63ZY6,Q63ZY6-5,0.22,0.21,315,245,Monomer Baseline / Stochastic Signal
NSUN5P2,Q63ZY6,Q63ZY6-4,0.22,0.64,315,117,Monomer Baseline / Stochastic Signal
SMYD3,Q9H7B4,Q9H7B4-3,0.15,0.15,428,369,Monomer Baseline / Stochastic Signal
FAM161A,Q3B820,Q3B820-2,0.15,0.13,660,551,Monomer Baseline / Stochastic Signal
PEG10,Q86TG7,Q86TG7-2,0.32,0.46,708,325,Monomer Baseline / Stochastic Signal
PCDHA11,Q9Y5I1,Q9Y5I1-2,0.51,0.56,949,810,Monomer Baseline / Stochastic Signal
C3orf20,Q8ND61,Q8ND61-2,0.21,0.19,904,782,Monomer Baseline / Stochastic Signal
ZNF507,Q8TCN5,Q8TCN5-2,0.2,0.18,953,764,Monomer Baseline / Stochastic Signal
FYB2,Q5VWT5,Q5VWT5-2,0.16,0.14,728,358,Monomer Baseline / Stochastic Signal
ZNF681,Q96N22,Q96N22-2,0.16,0.14,645,576,Monomer Baseline / Stochastic Signal
ALG13,Q9NP73,Q9NP73-3,0.23,0.23,1137,1059,Monomer Baseline / Stochastic Signal
TAF12,Q16514,Q16514-2,0.49,0.58,161,131,Monomer Baseline / Stochastic Signal
LRCH3,Q96II8,Q96II8-3,0.17,0.17,777,712,Monomer Baseline / Stochastic Signal
GABPB1,Q06547,Q06547-3,0.21,0.13,395,360,Monomer Baseline / Stochastic Signal
SNRK,Q9NRH2,Q9NRH2-2,0.19,0.56,765,244,Monomer Baseline / Stochastic Signal
CRHR2,Q13324,Q13324-6,0.14,0.13,411,366,Monomer Baseline / Stochastic Signal
CRHR2,Q13324,Q13324-5,0.14,0.12,411,370,Monomer Baseline / Stochastic Signal
SEPTIN10,Q9P0V9,Q9P0V9-3,0.59,0.6,454,431,Monomer Baseline / Stochastic Signal
TEAD4,Q15561,Q15561-2,0.15,0.22,434,305,Monomer Baseline / Stochastic Signal
PRKAG2,Q9UGJ0,Q9UGJ0-3,0.15,0.29,569,525,Monomer Baseline / Stochastic Signal
PRKAG2,Q9UGJ0,Q9UGJ0-2,0.15,0.11,569,328,Monomer Baseline / Stochastic Signal
PRRC1,Q96M27,Q96M27-4,0.48,0.13,445,311,Monomer Baseline / Stochastic Signal
CYP2C9,P11712,P11712-2,0.19,0.12,490,162,Monomer Baseline / Stochastic Signal
ZNF438,Q7Z4V0,Q7Z4V0-3,0.23,0.23,828,779,Monomer Baseline / Stochastic Signal
ZNF438,Q7Z4V0,Q7Z4V0-2,0.23,0.23,828,818,Monomer Baseline / Stochastic Signal
AKR1C3,P42330,P42330-2,0.15,0.39,323,204,Monomer Baseline / Stochastic Signal
SEC23A,Q15436,Q15436-2,0.28,0.14,765,563,Monomer Baseline / Stochastic Signal
USP28,Q96RU2,Q96RU2-3,0.45,0.52,1077,583,Monomer Baseline / Stochastic Signal
YBX3,P16989,P16989-3,0.23,0.24,372,342,Monomer Baseline / Stochastic Signal
UBE2A,P49459,P49459-3,0.13,0.15,152,77,Monomer Baseline / Stochastic Signal
MAB21L4,Q08AI8,Q08AI8-3,0.61,0.12,447,279,Ablation from >0.6 Canonical
MTNAP1,Q9BSJ5,Q9BSJ5-3,0.17,0.17,609,583,Monomer Baseline / Stochastic Signal
LRSAM1,Q6UWE0,Q6UWE0-3,0.27,0.46,723,303,Monomer Baseline / Stochastic Signal
CTCFL,Q8NI51,Q8NI51-2,0.15,0.14,663,573,Monomer Baseline / Stochastic Signal
APMAP,Q9HDC9,Q9HDC9-2,0.21,0.2,416,289,Monomer Baseline / Stochastic Signal
HTR4,Q13639,Q13639-7,0.12,0.11,388,359,Monomer Baseline / Stochastic Signal
HTR4,Q13639,Q13639-3,0.12,0.12,388,360,Monomer Baseline / Stochastic Signal
ANO3,Q9BYT9,Q9BYT9-2,0.77,0.85,981,835,Conserved at >0.7
RCC1L,Q96I51,Q96I51-3,0.15,0.15,464,454,Monomer Baseline / Stochastic Signal
RCC1L,Q96I51,Q96I51-2,0.15,0.27,464,358,Monomer Baseline / Stochastic Signal
PIK3IP1,Q96FE7,Q96FE7-4,0.14,0.1,263,173,Monomer Baseline / Stochastic Signal
PIK3IP1,Q96FE7,Q96FE7-3,0.14,0.2,263,106,Monomer Baseline / Stochastic Signal
HMGA2,P52926,P52926-3,0.05,0.06,109,86,Monomer Baseline / Stochastic Signal
BARX1,Q9HBU1,Q9HBU1-2,0.11,0.2,254,100,Monomer Baseline / Stochastic Signal
KCNMB3,Q9NPA1,Q9NPA1-4,0.12,0.12,279,257,Monomer Baseline / Stochastic Signal
TNFAIP8,O95379,O95379-2,0.74,0.79,198,190,Conserved at >0.7
TNFAIP8,O95379,O95379-3,0.74,0.75,198,188,Conserved at >0.7
SLC35A2,P78381,P78381-2,0.16,0.17,396,393,Monomer Baseline / Stochastic Signal
RPS6KB2,Q9UBS0,Q9UBS0-2,0.24,0.19,482,154,Monomer Baseline / Stochastic Signal
NCBP3,Q53F19,Q53F19-2,0.15,0.1,620,340,Monomer Baseline / Stochastic Signal
CIZ1,Q9ULV3,Q9ULV3-5,0.24,0.24,898,797,Monomer Baseline / Stochastic Signal
BAIAP2,Q9UQB8,Q9UQB8-4,0.5,0.52,552,521,Monomer Baseline / Stochastic Signal
BAIAP2,Q9UQB8,Q9UQB8-3,0.5,0.52,552,512,Monomer Baseline / Stochastic Signal
BAIAP2,Q9UQB8,Q9UQB8-5,0.5,0.52,552,520,Monomer Baseline / Stochastic Signal
BAIAP2,Q9UQB8,Q9UQB8-2,0.5,0.51,552,534,Monomer Baseline / Stochastic Signal
ZNF512,Q96ME7,Q96ME7-2,0.15,0.14,567,490,Monomer Baseline / Stochastic Signal
MOCS1,Q9NZB8,Q9NZB8-5,0.36,0.17,636,385,Monomer Baseline / Stochastic Signal
ARL6IP4,Q66PJ3-1,Q66PJ3,0.14,0.12,421,237,Monomer Baseline / Stochastic Signal
TRAPPC3,O43617,O43617-2,0.83,0.68,180,134,Ablation from >0.8 Canonical
TMUB2,Q71RG4,Q71RG4-2,0.2,0.18,321,301,Monomer Baseline / Stochastic Signal
TMUB2,Q71RG4,Q71RG4-3,0.2,0.17,321,181,Monomer Baseline / Stochastic Signal
POLD3,Q15054,Q15054-2,0.13,0.14,466,427,Monomer Baseline / Stochastic Signal
POLD3,Q15054,Q15054-3,0.13,0.12,466,360,Monomer Baseline / Stochastic Signal
IL11,P20809,P20809-2,0.24,0.73,199,120,Monomer Baseline / Stochastic Signal
INTU,Q9ULD6,Q9ULD6-3,0.21,0.17,942,435,Monomer Baseline / Stochastic Signal
INTU,Q9ULD6,Q9ULD6-4,0.21,0.21,942,923,Monomer Baseline / Stochastic Signal
INTU,Q9ULD6,Q9ULD6-2,0.21,0.17,942,408,Monomer Baseline / Stochastic Signal
TMEM63B,Q5T3F8,Q5T3F8-3,0.18,0.17,832,704,Monomer Baseline / Stochastic Signal
TMEM63B,Q5T3F8,Q5T3F8-2,0.18,0.16,832,491,Monomer Baseline / Stochastic Signal
GLRB,P48167,P48167-2,0.45,0.13,497,303,Monomer Baseline / Stochastic Signal
